Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
Gyaarah Gyaarah(2024),2024,"Drama, Fantasy, Science-Fiction",8.2,44min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/gyaarah-gyaarah
Jujutsu Kaisen(2020),2020,"Animation, Action & Adventure, Fantasy, Mystery & Thriller, Science-Fiction",8.5,24min,No Rating,"Japan, United States","['Crunchyroll Amazon Channel', 'Netflix', 'Anime Times Amazon Channel', 'Amazon Prime Video']",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
The Family Man(2019),2019,"Drama, Action & Adventure, Comedy, Mystery & Thriller",8.7,45min,No Rating,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-family-man
Creature Commandos(2024),2024,"Animation, Science-Fiction, Action & Adventure, Fantasy, Horror, War & Military",7.9,23min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/creature-commandos
Tomorrow and I(2024),2024,"Drama, Science-Fiction",7.2,1h 14min,A,Thailand,['Netflix'],https://www.justwatch.com/in/tv-show/tomorrow-and-i
Vikings(2013),2013,"War & Military, Romance, Action & Adventure, Drama, History, Made in Europe",8.5,45min,A,Canada,['Netflix'],https://www.justwatch.com/in/tv-show/vikings
Shameless(2011),2011,"Drama, Comedy",8.5,54min,U,United States,['Netflix'],https://www.justwatch.com/in/tv-show/shameless
Euphoria(2019),2019,Drama,8.3,58min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/euphoria
Based on a True Story(2023),2023,"Comedy, Drama",7.2,29min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/based-on-a-true-story
White Collar(2009),2009,"Drama, Mystery & Thriller, Comedy, Crime",8.2,44min,U,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/white-collar
The Lord of the Rings: The Rings of Power(2022),2022,"Action & Adventure, Science-Fiction, Drama, Fantasy",6.9,1h 8min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-lord-of-the-rings-the-rings-of-power
Murshid(2024),2024,"Crime, Mystery & Thriller",7.3,34min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/murshid
Peaky Blinders(2013),2013,"Drama, Crime",8.7,58min,A,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/peaky-blinders
Banshee(2013),2013,"Crime, Drama, Action & Adventure, Mystery & Thriller",8.4,51min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/banshee
Nobody Wants This(2024),2024,"Romance, Comedy, Drama",7.9,26min,No Rating,United States,['Netflix'],https://www.justwatch.com/in/tv-show/nobody-wants-this
Undekhi(2020),2020,"Crime, Drama",Not Found,35min,A,India,"['VI movies and tv', 'Sony Liv']",https://www.justwatch.com/in/tv-show/undekhi
Under the Dome(2013),2013,"Mystery & Thriller, Science-Fiction, Drama",6.5,43min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/under-the-dome
Young Sheldon(2017),2017,"Comedy, Drama",7.7,19min,No Rating,United States,"['Netflix', 'Amazon Prime Video']",https://www.justwatch.com/in/tv-show/young-sheldon
One-Punch Man(2015),2015,"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy, Science-Fiction",8.7,24min,No Rating,Japan,"['Crunchyroll Amazon Channel', 'Netflix', 'Anime Times Amazon Channel', 'Amazon Prime Video']",https://www.justwatch.com/in/tv-show/one-punch-man
Adam's Sweet Agony(2024),2024,Animation,Not Found,3min,No Rating,Japan,"['Anime Times Amazon Channel', 'Amazon Prime Video']",https://www.justwatch.com/in/tv-show/adams-sweet-agony
Chernobyl(2019),2019,"Drama, History, Mystery & Thriller",9.3,1h 5min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/chernobyl
From(2022),2022,"Horror, Science-Fiction, Mystery & Thriller, Drama",7.8,51min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/from
The Day of the Jackal(2024),2024,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.2,50min,No Rating,United Kingdom,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-day-of-the-jackal
Thukra ke mera pyaar(2024),2024,Romance,7.1,23min,No Rating,India,['Hotstar'],https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar
The Penguin(2024),2024,"Crime, Drama, Fantasy",8.7,58min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-penguin
Citadel: Honey Bunny(2024),2024,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",6.2,50min,No Rating,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/citadel-honey-bunny
Rugged Rugby: Conquer or Die- Season 1(2024),2024,"Reality TV, Sport",Not Found,0,No Rating,South Korea,['No streaming service found'],https://www.justwatch.com/in/tv-show/rugged-rugby-conquer-or-die/season-1
Polo- Season 1(2024),2024,"Documentary, Sport",Not Found,0,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/polo/season-1
Secret Level- Season 1(2024),2024,"Action & Adventure, Fantasy, Science-Fiction, Animation",Not Found,16min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/secret-level/season-1
The Kings of Tupelo: A Southern Crime Saga- Miniseries(2024),2024,"Crime, Documentary",Not Found,0,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/the-kings-of-tupelo-a-southern-crime-saga/season-1
One Hundred Years of Solitude- Season 1(2024),2024,"Drama, Science-Fiction, Fantasy, History",Not Found,0,No Rating,Colombia,['No streaming service found'],https://www.justwatch.com/in/tv-show/one-hundred-years-of-solitude/season-1
