Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL,Type
Deadpool & Wolverine(2024),2024,"Science-Fiction, Comedy, Action & Adventure",7.7,2h 8min,A,United States,"['Apple TV', 'Amazon Video', 'Hotstar']",https://www.justwatch.com/in/movie/deadpool-3,Movie
From(2022),2022,"Horror, Science-Fiction, Mystery & Thriller, Drama",7.8,51min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/from,Show
The Day of the Jackal(2024),2024,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.2,50min,No Rating,United Kingdom,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,Show
Thukra ke mera pyaar(2024),2024,Romance,7.1,23min,No Rating,India,['Hotstar'],https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar,Show
The Penguin(2024),2024,"Crime, Drama, Fantasy",8.7,58min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-penguin,Show
Dune: Prophecy(2024),2024,"Drama, Action & Adventure, Science-Fiction",7.4,59min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/dune-the-sisterhood,Show
Taaza Khabar(2023),2023,"Drama, Science-Fiction, Comedy, Fantasy, Mystery & Thriller, Action & Adventure",8.1,32min,No Rating,India,['Hotstar'],https://www.justwatch.com/in/tv-show/taaza-khabar,Show
Don't Come Home(2024),2024,"Science-Fiction, Mystery & Thriller, Drama, Horror",7.2,45min,No Rating,Thailand,['Netflix'],https://www.justwatch.com/in/tv-show/dont-come-home,Show
Say Nothing(2024),2024,"Crime, Drama, History, Mystery & Thriller",8.4,43min,No Rating,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/say-nothing,Show
Silo(2023),2023,"Science-Fiction, Drama",8.1,49min,A,United States,"['Apple TV Plus', 'Apple TV+']",https://www.justwatch.com/in/tv-show/silo,Show
Dan Da Dan(2024),2024,"Animation, Action & Adventure, Comedy, Science-Fiction, Fantasy, Romance, Mystery & Thriller",8.7,24min,No Rating,Japan,"['Crunchyroll Amazon Channel', 'Netflix', 'Anime Times Amazon Channel', 'Amazon Prime Video']",https://www.justwatch.com/in/tv-show/dan-da-dan,Show
Tulsa King(2022),2022,"Drama, Crime",8.0,40min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/tulsa-king,Show
Cross(2024),2024,"Action & Adventure, Crime, Mystery & Thriller, Drama",7.2,57min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/cross,Show
A Man on the Inside(2024),2024,"Comedy, Crime",7.8,29min,No Rating,United States,['Netflix'],https://www.justwatch.com/in/tv-show/a-classic-spy,Show
Farzi(2023),2023,"Drama, Crime, Mystery & Thriller",8.3,56min,No Rating,India,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/farzi,Show
Lioness(2023),2023,"Drama, War & Military, Mystery & Thriller, Action & Adventure",7.7,46min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/special-ops-lioness,Show
Senna(2024),2024,"Drama, Sport",8.5,1h 3min,A,Brazil,['Netflix'],https://www.justwatch.com/in/tv-show/senna,Show
Solo Leveling(2024),2024,"Animation, Action & Adventure, Fantasy, Science-Fiction",8.3,24min,No Rating,"South Korea, Japan",['Crunchyroll Amazon Channel'],https://www.justwatch.com/in/tv-show/solo-leveling-2024,Show
House of the Dragon(2022),2022,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.3,1h 2min,A,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/house-of-the-dragon,Show
The Diplomat(2023),2023,"Drama, War & Military, Mystery & Thriller",8.0,50min,A,United States,['Netflix'],https://www.justwatch.com/in/tv-show/the-diplomat,Show
Agatha All Along(2024),2024,"Science-Fiction, Mystery & Thriller, Drama, Fantasy, Action & Adventure, Comedy",7.2,39min,No Rating,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/agatha-house-of-harkness,Show
Black Doves(2024),2024,"Mystery & Thriller, Crime, Action & Adventure, Drama",7.2,55min,No Rating,United Kingdom,['Netflix'],https://www.justwatch.com/in/tv-show/black-doves,Show
The Agency(2024),2024,"Mystery & Thriller, Drama",7.2,52min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/the-agency,Show
Vikkatakavi(2024),2024,"Mystery & Thriller, Drama",8.0,38min,No Rating,India,['Zee5'],https://www.justwatch.com/in/tv-show/vikkatakavi,Show
Dragon Ball DAIMA(2024),2024,"Science-Fiction, Animation, Action & Adventure, Comedy, Fantasy",8.1,23min,No Rating,Japan,"['Crunchyroll Amazon Channel', 'Netflix']",https://www.justwatch.com/in/tv-show/dragon-ball-daima,Show
Mr. Plankton(2024),2024,"Comedy, Romance",8.1,1h 2min,No Rating,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/mr-plankton,Show
High Potential(2024),2024,"Crime, Drama",7.8,43min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/high-potential,Show
Murder Mindfully(2024),2024,"Comedy, Crime, Mystery & Thriller",7.5,32min,A,Germany,['Netflix'],https://www.justwatch.com/in/tv-show/murder-mindfully,Show
1000 Babies(2024),2024,"Crime, Drama, Horror",7.2,42min,A,India,['Hotstar'],https://www.justwatch.com/in/tv-show/1000-babies,Show
Murder in Mahim(2024),2024,Crime,7.5,43min,No Rating,India,['Jio Cinema'],https://www.justwatch.com/in/tv-show/murder-in-mahim,Show
When the Phone Rings(2024),2024,"Drama, Mystery & Thriller, Romance",8.1,1h 9min,No Rating,South Korea,['Netflix'],https://www.justwatch.com/in/tv-show/when-the-phone-rings,Show
Shōgun(2024),2024,"Drama, War & Military, History",8.6,59min,No Rating,United States,['Hotstar'],https://www.justwatch.com/in/tv-show/shogun-2024,Show
Sweetpea(2024),2024,"Comedy, Drama",7.2,44min,No Rating,United Kingdom,['Jio Cinema'],https://www.justwatch.com/in/tv-show/sweetpea,Show
Landman(2024),2024,Drama,8.3,48min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/tv-show/landman,Show
Raising Voices(2024),2024,Drama,7.2,46min,A,Spain,['Netflix'],https://www.justwatch.com/in/tv-show/raising-voices,Show
Gyaarah Gyaarah(2024),2024,"Drama, Fantasy, Science-Fiction",8.2,44min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/gyaarah-gyaarah,Show
Creature Commandos(2024),2024,"Animation, Science-Fiction, Action & Adventure, Fantasy, Horror, War & Military",7.9,23min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/creature-commandos,Show
Tomorrow and I(2024),2024,"Drama, Science-Fiction",7.2,1h 14min,A,Thailand,['Netflix'],https://www.justwatch.com/in/tv-show/tomorrow-and-i,Show
Based on a True Story(2023),2023,"Comedy, Drama",7.2,29min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/based-on-a-true-story,Show
Murshid(2024),2024,"Crime, Mystery & Thriller",7.3,34min,A,India,['Zee5'],https://www.justwatch.com/in/tv-show/murshid,Show
Nobody Wants This(2024),2024,"Romance, Comedy, Drama",7.9,26min,No Rating,United States,['Netflix'],https://www.justwatch.com/in/tv-show/nobody-wants-this,Show
From(2022),2022,"Horror, Science-Fiction, Mystery & Thriller, Drama",7.8,51min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/from,Show
The Day of the Jackal(2024),2024,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.2,50min,No Rating,United Kingdom,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,Show
Thukra ke mera pyaar(2024),2024,Romance,7.1,23min,No Rating,India,['Hotstar'],https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar,Show
The Penguin(2024),2024,"Crime, Drama, Fantasy",8.7,58min,No Rating,United States,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-penguin,Show
