Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
Bhool Bhulaiyaa 2(2022),2022,"Horror, Comedy",5.7,2h 23min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/bhool-bhulaiyaa-2
My Old Ass(2024),2024,"Drama, Romance, Comedy",7.0,1h 29min,No Rating,"United Kingdom, Canada, United States",['Amazon Prime Video'],https://www.justwatch.com/in/movie/my-old-ass
Oldboy(2003),2003,"Drama, Mystery & Thriller, Action & Adventure",8.3,2h 0min,A,South Korea,"['Jio Cinema', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/oldboy-2003
365 Days(2020),2020,"Drama, Romance, Made in Europe",3.3,1h 54min,No Rating,Poland,['Netflix'],https://www.justwatch.com/in/movie/365-days
Red One(2024),2024,"Action & Adventure, Comedy, Fantasy",6.8,2h 4min,No Rating,United States,['No streaming service found'],https://www.justwatch.com/in/movie/red-one
Kill(2024),2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.6,1h 45min,A,India,['Hotstar'],https://www.justwatch.com/in/movie/kill-2024
Kalki 2898 AD(2024),2024,"Drama, Fantasy, Science-Fiction, Mystery & Thriller, Action & Adventure",7.1,3h 0min,UA,India,"['Amazon Video', 'Netflix', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/kalki-2898-ad
Transformers One(2024),2024,"Fantasy, Science-Fiction, Animation, Action & Adventure, Kids & Family",7.6,1h 44min,U,United States,"['Apple TV', 'Amazon Video']",https://www.justwatch.com/in/movie/transformers-one-2024
Furiosa: A Mad Max Saga(2024),2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.5,2h 28min,A,"Australia, United States","['Apple TV', 'Amazon Video', 'Jio Cinema']",https://www.justwatch.com/in/movie/furiosa
It Ends with Us(2024),2024,"Drama, Romance",6.5,2h 10min,A,United States,"['Amazon Video', 'Apple TV', 'Netflix', 'Zee5']",https://www.justwatch.com/in/movie/it-ends-with-us
Jigra(2024),2024,"Crime, Drama, Mystery & Thriller, Action & Adventure",6.7,2h 35min,No Rating,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/jigra-2024
KA(2024),2024,"Mystery & Thriller, Action & Adventure, Crime",7.2,2h 31min,No Rating,India,['Bookmyshow'],https://www.justwatch.com/in/movie/ka-2024
Khel Khel Mein(2024),2024,"Comedy, Drama",6.5,2h 15min,UA,India,['Netflix'],https://www.justwatch.com/in/movie/khel-khel-mein
Gladiator II(2024),2024,"Action & Adventure, Drama, History",6.9,2h 28min,No Rating,"Malta, United States, United Kingdom, Morocco, Canada",['Bookmyshow'],https://www.justwatch.com/in/movie/gladiator-2
Yudhra(2024),2024,"Mystery & Thriller, Action & Adventure, Drama",5.1,2h 22min,UA,India,"['Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/yudhra
Caddo Lake(2024),2024,"Drama, Mystery & Thriller, Science-Fiction, Horror",6.9,1h 43min,A,United States,"['Apple TV', 'Amazon Video', 'Jio Cinema']",https://www.justwatch.com/in/movie/caddo-lake
The Promised Land(2023),2023,"Drama, History, Action & Adventure",7.7,2h 7min,No Rating,"Germany, Sweden, Denmark",['Amazon Prime Video'],https://www.justwatch.com/in/movie/the-bastard
Bloody Beggar(2024),2024,"Drama, Comedy",6.2,2h 19min,UA,India,"['Sun Nxt', 'Amazon Video', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/bloody-beggar-2024
Salaar(2023),2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.6,2h 55min,A,India,"['VI movies and tv', 'Bookmyshow', 'Netflix', 'Hotstar']",https://www.justwatch.com/in/movie/salaar
Naughty(2023),2023,"Drama, Romance",4.8,1h 49min,No Rating,Russia,['Amazon Video'],https://www.justwatch.com/in/movie/neposlushnaia
Mangalavaaram(2023),2023,"Mystery & Thriller, Action & Adventure, Horror",6.8,2h 29min,No Rating,India,"['VI movies and tv', 'Jio Cinema', 'Hotstar', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/mangalavaram
Longlegs(2024),2024,"Horror, Mystery & Thriller, Crime",6.7,1h 41min,A,"United States, Canada","['Apple TV', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/longlegs
Animal(2023),2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.1,3h 21min,A,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/animal-2022
The Greatest of All Time(2024),2024,"Mystery & Thriller, Drama, Action & Adventure",5.8,3h 3min,UA,India,"['Bookmyshow', 'Netflix']",https://www.justwatch.com/in/movie/thalapathy-68
Strange Darling(2024),2024,"Horror, Mystery & Thriller, Crime",7.1,1h 37min,No Rating,United States,['Amazon Prime Video'],https://www.justwatch.com/in/movie/strange-darling
Sookshma Darshini(2024),2024,Mystery & Thriller,8.3,2h 22min,No Rating,India,['Bookmyshow'],https://www.justwatch.com/in/movie/sookshma-darshini
Golam(2024),2024,"Crime, Mystery & Thriller",7.2,2h 0min,UA,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/golam
Munjya(2024),2024,"Horror, Comedy",6.4,2h 3min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/munjha
Thangalaan(2024),2024,"Fantasy, History, Action & Adventure, Drama",7.0,2h 36min,UA,India,['No streaming service found'],https://www.justwatch.com/in/movie/thangalaan
Gaganachari(2024),2024,"Fantasy, Science-Fiction, Comedy",7.0,1h 54min,No Rating,India,['Amazon Prime Video'],https://www.justwatch.com/in/movie/gaganachari
Maa Nanna Superhero(2024),2024,Drama,6.7,2h 7min,No Rating,India,"['Zee5', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/maa-nanna-superhero
The Wolf of Wall Street(2013),2013,"Comedy, Drama, Crime",8.2,3h 0min,A,United States,"['Lionsgate Play Amazon Channel', 'Amazon Video', 'Lionsgate Play', 'Lionsgate Play Apple TV Channel']",https://www.justwatch.com/in/movie/the-wolf-of-wall-street
Laila Majnu(2018),2018,"Drama, Romance",7.7,2h 19min,UA,India,['VI movies and tv'],https://www.justwatch.com/in/movie/laila-majnu
Personal Shopper(2016),2016,"Drama, Mystery & Thriller, Made in Europe",6.1,1h 46min,No Rating,"France, Germany, United Kingdom, Belgium, Czech Republic","['Amazon Video', 'Netflix']",https://www.justwatch.com/in/movie/personal-shopper
Dune: Part Two(2024),2024,"Science-Fiction, Action & Adventure, Drama",8.5,2h 47min,UA,United States,"['Apple TV', 'Amazon Video', 'Jio Cinema']",https://www.justwatch.com/in/movie/dune-part-two
We Live in Time(2025),2025,"Drama, Romance",7.0,1h 48min,No Rating,United Kingdom,['Amazon Video'],https://www.justwatch.com/in/movie/we-live-in-time
Vedaa(2024),2024,"Action & Adventure, Drama, Mystery & Thriller",6.0,2h 25min,No Rating,India,"['Bookmyshow', 'Zee5']",https://www.justwatch.com/in/movie/vedaa
Venom(2018),2018,"Action & Adventure, Science-Fiction",6.6,1h 52min,UA,"China, United States","['VI movies and tv', 'Sony Liv', 'Amazon Video', 'Netflix', 'Amazon Prime Video', 'Apple TV', 'Jio Cinema', 'Zee5']",https://www.justwatch.com/in/movie/venom-2018
K.G.F: Chapter 1(2018),2018,"Crime, Mystery & Thriller, Action & Adventure, Drama",8.2,2h 36min,UA,India,['Hotstar'],https://www.justwatch.com/in/movie/k-g-f-chapter-1
Sarfira(2024),2024,Drama,7.0,2h 35min,U,India,['Hotstar'],https://www.justwatch.com/in/movie/untitled-soorarai-pottru-remake
